# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4613.6000 A315 2000000 1 114.6000 Avenue_12 Avenue_13 298 N Avenue_12->Avenue_13
4633.1000 A318 2000000 1 90.1000 Avenue_15 Avenue_18 298 N Avenue_15->Avenue_18
4655.3000 A305 2000000 1 305.3000 Avenue_12 Avenue_15 294 N Avenue_12->Avenue_15
4664.3000 A257 2000000 2 981.3000 Avenue_14 Street_4 283 N Avenue_14->Avenue_19->Street_4
4712.1000 A301 2000000 1 412.1000 Street_7 Street_6 293 N Street_7->Street_6
4712.9000 A326 2000000 1 54.9000 Street_9 Street_2 299 N Street_9->Street_2
4713.6000 A322 2000000 1 110.6000 Street_6 Street_7 298 N Street_6->Street_7
4769.1000 A291 2000000 2 609.1000 Avenue_14 Avenue_11 289 N Avenue_14->Street_10->Avenue_11
4781.0000 A319 2000000 1 222.0000 Avenue_14 Street_3 296 N Avenue_14->Street_3
4782.0000 A324 2000000 1 150.0000 Street_8 Street_1 297 N Street_8->Street_1
4782.5000 A293 2000000 4 593.5000 Avenue_20 Street_3 290 N Avenue_20->Avenue_19->Avenue_18->Avenue_14->Street_3
4791.5000 A265 2000000 3 1006.5000 Avenue_12 Avenue_14 283 N Avenue_12->Street_2->Street_6->Avenue_14
4808.5000 A310 2000000 2 384.5000 Avenue_19 Street_7 293 N Avenue_19->Street_4->Street_7
4850.3000 A240 2000000 8 1413.3000 Avenue_18 Station1_0 276 N Avenue_18->Avenue_12->Avenue_20->Avenue_17->Avenue_13->Street_4->Street_7->Street_2->Station1_0
4922.9000 A339 2000000 1 73.9000 Street_10 Avenue_18 298 N Street_10->Avenue_18
5018.1000 A341 2000000 1 139.1000 Avenue_19 Avenue_13 297 N Avenue_19->Avenue_13
5019.6000 A306 2000000 3 652.6000 Avenue_12 Avenue_19 289 N Avenue_12->Avenue_15->Avenue_13->Avenue_19
5097.3000 A284 2000000 4 1039.3000 Street_3 Avenue_20 282 N Street_3->Street_1->Street_3->Avenue_16->Avenue_20
5120.0000 A296 2000000 4 885.0000 Avenue_15 Street_5 285 N Avenue_15->Avenue_18->Avenue_12->Avenue_17->Street_5
5121.5000 A332 2000000 3 376.5000 Avenue_17 Street_5 293 N Avenue_17->Avenue_12->Avenue_17->Street_5
5131.1000 A347 2000000 1 170.1000 Street_4 Street_6 297 N Street_4->Street_6
5132.3000 A357 2000000 1 17.3000 Avenue_15 Avenue_14 299 N Avenue_15->Avenue_14
5132.6000 A349 2000000 1 140.6000 Street_6 Street_4 297 N Street_6->Street_4
5133.1000 A338 2000000 2 294.1000 Avenue_20 Avenue_19 295 N Avenue_20->Avenue_11->Avenue_19
5138.5000 A334 2000000 1 370.5000 Street_10 Street_4 293 N Street_10->Street_4
5146.7000 A304 2000000 4 808.7000 Avenue_19 Street_9 286 N Avenue_19->Street_4->Street_8->Street_3->Street_9
5148.2000 A251 2000000 4 1550.2000 Avenue_15 Street_10 274 N Avenue_15->Avenue_14->Avenue_19->Street_6->Street_10
5148.2000 A336 2000000 2 343.2000 Street_8 Street_9 294 N Street_8->Street_3->Street_9
5149.5000 A321 2000000 2 561.5000 Avenue_20 Avenue_12 290 N Avenue_20->Avenue_13->Avenue_12
5151.0000 A294 2000000 3 945.0000 Avenue_11 Avenue_12 284 N Avenue_11->Avenue_20->Avenue_13->Avenue_12
5169.9000 A330 2000000 2 456.9000 Avenue_12 Street_8 292 N Avenue_12->Avenue_17->Street_8
5178.1000 A331 2000000 3 448.1000 Avenue_14 Street_7 292 N Avenue_14->Street_3->Street_9->Street_7
5184.1000 A345 2000000 1 249.1000 Street_8 Street_5 295 N Street_8->Street_5
5198.5000 A337 2000000 3 378.5000 Avenue_12 Avenue_11 293 N Avenue_12->Avenue_17->Avenue_12->Avenue_11
5214.2000 A343 2000000 3 308.2000 Avenue_15 Avenue_16 294 N Avenue_15->Avenue_13->Avenue_19->Avenue_16
5240.6000 A176 2000000 10 2735.6000 Avenue_13 Street_2 254 N Avenue_13->Avenue_18->Avenue_16->Avenue_18->Avenue_17->Avenue_18->Avenue_15->Avenue_16->Avenue_12->Avenue_17->Street_2
